station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
MKE,2025-01-01 09:44,31.00,22.00,68.92,280.00,9.00,T,29.96,M,10.00,16.00,FEW,OVC,M,M,2300.00,3000.00,M,M,-SN,M,M,M,M,M,M,22.27,KMKE 010944Z 28009G16KT 10SM -SN FEW023 OVC030 M01/M06 A2996 RMK AO2 SNB44 P0000 T10061056,M
MKE,2025-01-01 09:52,30.00,22.00,71.78,280.00,7.00,T,29.96,1015.20,9.00,M,OVC,M,M,M,3000.00,M,M,M,-SN,M,M,M,M,M,M,22.34,KMKE 010952Z 28007KT 9SM -SN OVC030 M01/M06 A2996 RMK AO2 SNB44 SLP152 P0000 T10111056,M
MKE,2025-01-01 10:52,30.00,22.00,71.78,280.00,9.00,T,29.96,1015.50,9.00,M,OVC,M,M,M,4100.00,M,M,M,-SN,M,M,M,M,M,M,21.03,KMKE 011052Z 28009KT 9SM -SN OVC041 M01/M06 A2996 RMK AO2 SLP155 P0000 T10111056,M
MKE,2025-01-01 11:24,30.00,22.00,71.78,300.00,11.00,T,29.97,M,9.00,M,FEW,BKN,OVC,M,2000.00,2600.00,4600.00,M,-SN,M,M,M,M,M,M,19.94,KMKE 011124Z 30011KT 9SM -SN FEW020 BKN026 OVC046 M01/M06 A2997 RMK AO2 P0000 T10111056,M
MKE,2025-01-01 11:52,30.00,22.00,71.78,290.00,9.00,T,29.98,1016.00,9.00,M,OVC,M,M,M,2200.00,M,M,M,-SN,M,M,M,M,M,M,21.03,KMKE 011152Z 29009KT 9SM -SN OVC022 M01/M06 A2998 RMK AO2 SLP160 P0000 60000 70003 T10111056 10000 21011 53008,M
MKE,2025-01-01 12:50,30.20,19.40,63.75,270.00,9.91,M,29.99,M,9.00,17.11,FEW,BKN,OVC,M,2900.00,3398.00,4101.00,M,-SN,M,M,M,M,M,M,20.76,SPECI KMKE 011250Z 27010G17KT 9SM -SN FEW029 BKN034 OVC041 M01/M07 A2999 RMK AO2 P0000 FIBI (CTR),M
MKE,2025-01-01 12:52,30.00,19.00,63.18,280.00,10.00,T,29.99,1016.30,9.00,M,FEW,BKN,OVC,M,2900.00,3400.00,4100.00,M,-SN,M,M,M,M,M,M,20.46,KMKE 011252Z 28010KT 9SM -SN FEW029 BKN034 OVC041 M01/M07 A2999 RMK AO2 SLP163 P0000 T10111072,M
MKE,2025-01-01 13:52,30.00,20.00,65.94,280.00,6.00,T,30.00,1016.80,9.00,M,SCT,OVC,M,M,4000.00,4800.00,M,M,-SN,M,M,M,M,M,M,23.12,KMKE 011352Z 28006KT 9SM -SN SCT040 OVC048 M01/M07 A3000 RMK AO2 SLP168 P0000 T10111067,M
MKE,2025-01-01 14:52,30.00,20.00,65.94,280.00,12.00,T,30.02,1017.40,9.00,22.00,OVC,M,M,M,5000.00,M,M,M,-SN,M,M,M,26.00,280.00,2025-01-01 14:25,19.46,KMKE 011452Z 28012G22KT 9SM -SN OVC050 M01/M07 A3002 RMK AO2 PK WND 28026/1425 SLP174 P0000 60000 T10111067 53013,M
MKE,2025-01-01 15:41,29.00,23.00,77.98,290.00,10.00,T,30.04,M,2.00,24.00,SCT,BKN,OVC,M,1200.00,3000.00,4300.00,M,-SN,M,M,M,M,M,M,19.21,KMKE 011541Z 29010G24KT 2SM -SN SCT012 BKN030 OVC043 M02/M05 A3004 RMK AO2 P0000 T10171050,M
MKE,2025-01-01 15:52,29.00,24.00,81.32,280.00,9.00,T,30.04,1018.10,3.00,M,BKN,BKN,OVC,M,2500.00,3800.00,4500.00,M,-SN,M,M,M,M,M,M,19.78,KMKE 011552Z 28009KT 3SM -SN BKN025 BKN038 OVC045 M02/M04 A3004 RMK AO2 SLP181 P0000 T10171044,M
MKE,2025-01-01 16:52,30.00,23.00,74.87,270.00,9.00,0.01,30.03,1017.80,4.00,M,FEW,BKN,OVC,M,1600.00,2300.00,3200.00,M,-SN,M,M,M,M,M,M,21.03,KMKE 011652Z 27009KT 4SM -SN FEW016 BKN023 OVC032 M01/M05 A3003 RMK AO2 SLP178 P0001 T10111050,M
MKE,2025-01-01 17:18,32.00,23.00,69.04,280.00,11.00,T,30.03,M,7.00,20.00,FEW,BKN,OVC,M,1700.00,3000.00,4800.00,M,-SN,M,M,M,M,M,M,22.47,KMKE 011718Z 28011G20KT 7SM -SN FEW017 BKN030 OVC048 00/M05 A3003 RMK AO2 P0000 T00001050,M
MKE,2025-01-01 17:44,30.00,22.00,71.78,290.00,14.00,T,30.02,M,9.00,17.00,SCT,BKN,OVC,M,1900.00,2400.00,4100.00,M,-SN,M,M,M,M,M,M,18.58,KMKE 011744Z 29014G17KT 9SM -SN SCT019 BKN024 OVC041 M01/M06 A3002 RMK AO2 P0000 T10111056,M
MKE,2025-01-01 17:52,30.00,21.00,68.81,300.00,9.00,T,30.02,1017.50,9.00,19.00,BKN,BKN,OVC,M,2000.00,3400.00,4200.00,M,-SN,M,M,M,M,M,M,21.03,KMKE 011752Z 30009G19KT 9SM -SN BKN020 BKN034 OVC042 M01/M06 A3002 RMK AO2 SLP175 P0000 60001 T10111061 10006 21022 50001,M
MKE,2025-01-01 18:10,30.00,21.00,68.81,290.00,13.00,T,30.02,M,9.00,18.00,SCT,OVC,M,M,2200.00,3400.00,M,M,-SN,M,M,M,M,M,M,19.01,KMKE 011810Z 29013G18KT 9SM -SN SCT022 OVC034 M01/M06 A3002 RMK AO2 P0000 T10111061,M
MKE,2025-01-01 18:16,30.00,21.00,68.81,290.00,13.00,T,30.02,M,9.00,19.00,SCT,OVC,M,M,2200.00,3400.00,M,M,M,M,M,M,M,M,M,19.01,KMKE 011816Z 29013G19KT 9SM SCT022 OVC034 M01/M06 A3002 RMK AO2 SNE15 P0000 T10111061,M
MKE,2025-01-01 18:52,30.00,21.00,68.81,270.00,10.00,T,30.01,1017.30,10.00,M,BKN,OVC,M,M,2100.00,2500.00,M,M,M,M,M,M,M,M,M,20.46,KMKE 011852Z 27010KT 10SM BKN021 OVC025 M01/M06 A3001 RMK AO2 SNE15 SLP173 P0000 T10111061,M
MKE,2025-01-01 19:52,29.00,18.00,63.05,270.00,17.00,0.00,30.03,1017.70,10.00,24.00,BKN,OVC,M,M,2600.00,3000.00,M,M,M,M,M,M,26.00,280.00,2025-01-01 19:12,16.15,KMKE 011952Z 27017G24KT 10SM BKN026 OVC030 M02/M08 A3003 RMK AO2 PK WND 28026/1912 SLP177 T10171078,M
MKE,2025-01-01 20:22,31.00,18.00,58.12,270.00,13.00,0.00,30.03,M,10.00,20.00,OVC,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,20.29,KMKE 012022Z 27013G20KT 10SM OVC030 M01/M08 A3003 RMK AO2 T10061078,M
MKE,2025-01-01 20:52,30.00,18.00,60.53,280.00,9.00,0.00,30.04,1018.00,10.00,17.00,OVC,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,21.03,KMKE 012052Z 28009G17KT 10SM OVC030 M01/M08 A3004 RMK AO2 SLP180 60000 T10111078 53005,M
MKE,2025-01-01 20:59,30.00,18.00,60.53,280.00,11.00,0.00,30.04,M,10.00,M,OVC,M,M,M,2800.00,M,M,M,M,M,M,M,M,M,M,19.94,KMKE 012059Z 28011KT 10SM OVC028 M01/M08 A3004 RMK AO2 T10111078,M
MKE,2025-01-01 21:52,29.00,17.00,60.39,290.00,12.00,0.00,30.06,1018.80,10.00,21.00,OVC,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,18.18,KMKE 012152Z 29012G21KT 10SM OVC026 M02/M08 A3006 RMK AO2 SLP188 T10171083,M
MKE,2025-01-01 22:52,28.00,16.00,60.25,280.00,12.00,0.00,30.07,1019.30,10.00,21.00,BKN,OVC,M,M,2800.00,7500.00,M,M,M,M,M,M,M,M,M,16.91,KMKE 012252Z 28012G21KT 10SM BKN028 OVC075 M02/M09 A3007 RMK AO2 SLP193 T10221089,M
MKE,2025-01-01 23:52,27.00,15.00,60.10,290.00,12.00,0.00,30.09,1020.00,10.00,21.00,BKN,OVC,M,M,2800.00,8000.00,M,M,M,M,M,M,26.00,270.00,2025-01-01 23:21,15.64,KMKE 012352Z 29012G21KT 10SM BKN028 OVC080 M03/M09 A3009 RMK AO2 PK WND 27026/2321 SLP200 60000 T10281094 11006 21028 51018 $,M
MKE,2025-01-02 00:33,27.00,15.00,60.10,290.00,11.00,T,30.10,M,10.00,21.00,OVC,M,M,M,2800.00,M,M,M,-SN,M,M,M,M,M,M,16.15,KMKE 020033Z 29011G21KT 10SM -SN OVC028 M03/M09 A3010 RMK AO2 SNB33 P0000 T10281094 $,M
MKE,2025-01-02 00:52,27.00,14.00,57.53,270.00,11.00,T,30.11,1020.60,9.00,20.00,OVC,M,M,M,2700.00,M,M,M,-SN,M,M,M,M,M,M,16.15,KMKE 020052Z 27011G20KT 9SM -SN OVC027 M03/M10 A3011 RMK AO2 SNB33 SLP206 P0000 T10281100 $,M
MKE,2025-01-02 01:52,26.00,14.00,59.96,270.00,12.00,T,30.12,1021.00,9.00,21.00,OVC,M,M,M,2800.00,M,M,M,-SN,M,M,M,M,M,M,14.37,KMKE 020152Z 27012G21KT 9SM -SN OVC028 M03/M10 A3012 RMK AO2 SLP210 P0000 T10331100 $,M
MKE,2025-01-02 02:52,25.00,14.00,62.50,270.00,14.00,T,30.13,1021.20,9.00,21.00,OVC,M,M,M,2700.00,M,M,M,-SN,M,M,M,M,M,M,12.14,KMKE 020252Z 27014G21KT 9SM -SN OVC027 M04/M10 A3013 RMK AO2 SLP212 P0000 60000 T10391100 51013 $,M
MKE,2025-01-02 03:52,24.00,12.00,59.67,280.00,9.00,T,30.14,1021.80,9.00,20.00,OVC,M,M,M,2600.00,M,M,M,-SN,M,M,M,M,M,M,13.57,KMKE 020352Z 28009G20KT 9SM -SN OVC026 M04/M11 A3014 RMK AO2 SLP218 P0000 T10441111 $,M
MKE,2025-01-02 04:52,24.00,10.00,54.59,290.00,14.00,T,30.15,1021.90,9.00,23.00,OVC,M,M,M,2900.00,M,M,M,-SN,M,M,M,M,M,M,10.85,KMKE 020452Z 29014G23KT 9SM -SN OVC029 M04/M12 A3015 RMK AO2 SLP219 P0000 T10441122 $,M
MKE,2025-01-02 05:04,23.00,12.00,62.23,310.00,11.00,T,30.15,M,9.00,24.00,OVC,M,M,M,3000.00,M,M,M,-SN,M,M,M,26.00,290.00,2025-01-02 04:54,11.09,KMKE 020504Z 31011G24KT 9SM -SN OVC030 M05/M11 A3015 RMK AO2 PK WND 29026/0454 P0000 T10501111 $,M
MKE,2025-01-02 05:52,23.00,11.00,59.52,300.00,7.00,T,30.14,1021.70,9.00,M,OVC,M,M,M,3000.00,M,M,M,-SN,M,M,M,26.00,290.00,2025-01-02 04:54,13.81,KMKE 020552Z 30007KT 9SM -SN OVC030 M05/M12 A3014 RMK AO2 PK WND 29026/0454 SLP217 P0000 60000 T10501117 11028 21050 400111050 50005 $,M
MKE,2025-01-02 06:10,23.00,11.00,59.52,310.00,8.00,T,30.14,M,9.00,M,OVC,M,M,M,2900.00,M,M,M,-SN,M,M,M,M,M,M,13.03,KMKE 020610Z 31008KT 9SM -SN OVC029 M05/M12 A3014 RMK AO2 P0000 T10501117 $,M
MKE,2025-01-02 06:52,24.00,12.00,59.67,290.00,5.00,T,30.14,1021.80,10.00,M,OVC,M,M,M,2800.00,M,M,M,M,M,M,M,M,M,M,16.89,KMKE 020652Z 29005KT 10SM OVC028 M04/M11 A3014 RMK AO2 SNE52 SLP218 P0000 T10441111 $,M
MKE,2025-01-02 07:09,23.00,12.00,62.23,270.00,8.00,T,30.14,M,10.00,M,OVC,M,M,M,2800.00,M,M,M,-SN,M,M,M,M,M,M,13.03,KMKE 020709Z 27008KT 10SM -SN OVC028 M05/M11 A3014 RMK AO2 SNB08 P0000 T10501111 $,M
MKE,2025-01-02 07:52,24.00,13.00,62.36,280.00,8.00,T,30.16,1022.40,9.00,M,OVC,M,M,M,2500.00,M,M,M,-SN,M,M,M,M,M,M,14.26,KMKE 020752Z 28008KT 9SM -SN OVC025 M04/M11 A3016 RMK AO2 SNB08 SLP224 P0000 T10441106 $,M
MKE,2025-01-02 08:52,24.00,13.00,62.36,290.00,8.00,T,30.16,1022.40,9.00,M,OVC,M,M,M,2800.00,M,M,M,-SN,M,M,M,M,M,M,14.26,KMKE 020852Z 29008KT 9SM -SN OVC028 M04/M11 A3016 RMK AO2 SLP224 P0000 60000 T10441106 51006 $,M
MKE,2025-01-02 09:52,24.00,14.00,65.17,300.00,8.00,T,30.17,1022.70,9.00,M,OVC,M,M,M,2700.00,M,M,M,-SN,M,M,M,M,M,M,14.26,KMKE 020952Z 30008KT 9SM -SN OVC027 M04/M10 A3017 RMK AO2 SLP227 P0000 T10441100 $,M
MKE,2025-01-02 10:52,24.00,13.00,62.36,280.00,10.00,T,30.17,1022.80,9.00,M,OVC,M,M,M,2600.00,M,M,M,-SN,M,M,M,M,M,M,12.94,KMKE 021052Z 28010KT 9SM -SN OVC026 M04/M11 A3017 RMK AO2 SLP228 P0000 T10441106 $,M
MKE,2025-01-02 11:52,24.00,13.00,62.36,280.00,8.00,T,30.19,1023.50,9.00,20.00,OVC,M,M,M,2500.00,M,M,M,-SN,M,M,M,M,M,M,14.26,KMKE 021152Z 28008G20KT 9SM -SN OVC025 M04/M11 A3019 RMK AO2 SLP235 P0000 60000 70001 T10441106 11033 21050 53010 $,M
MKE,2025-01-02 12:52,23.00,11.00,59.52,300.00,11.00,T,30.20,1023.80,9.00,M,OVC,M,M,M,2600.00,M,M,M,-SN,M,M,M,M,M,M,11.09,KMKE 021252Z 30011KT 9SM -SN OVC026 M05/M12 A3020 RMK AO2 SLP238 P0000 T10501117 $,M
MKE,2025-01-02 12:59,23.00,11.00,59.52,300.00,11.00,T,30.20,M,9.00,M,OVC,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,11.09,KMKE 021259Z 30011KT 9SM OVC026 M05/M12 A3020 RMK AO2 SNE59 P0000 T10501117 $,M
MKE,2025-01-02 13:29,23.00,12.00,62.23,290.00,12.00,T,30.20,M,10.00,18.00,SCT,SCT,M,M,2500.00,25000.00,M,M,M,M,M,M,M,M,M,10.55,KMKE 021329Z 29012G18KT 10SM SCT025 SCT250 M05/M11 A3020 RMK AO2 SNE1259 P0000 T10501111 $,M
MKE,2025-01-02 13:52,22.00,12.00,64.90,300.00,9.00,T,30.21,1024.10,10.00,M,SCT,SCT,M,M,2500.00,25000.00,M,M,M,M,M,M,M,M,M,11.08,KMKE 021352Z 30009KT 10SM SCT025 SCT250 M06/M11 A3021 RMK AO2 SNE1259 SLP241 P0000 T10561111 $,M
MKE,2025-01-02 14:52,24.00,12.00,59.67,300.00,9.00,0.00,30.23,1024.80,10.00,M,FEW,BKN,M,M,2400.00,25000.00,M,M,M,M,M,M,M,M,M,13.57,KMKE 021452Z 30009KT 10SM FEW024 BKN250 M04/M11 A3023 RMK AO2 SLP248 60000 T10441111 53012,M
MKE,2025-01-02 15:52,25.00,13.00,59.82,280.00,11.00,0.00,30.23,1025.00,10.00,M,SCT,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,13.62,KMKE 021552Z 28011KT 10SM SCT250 M04/M11 A3023 RMK AO2 SLP250 T10391106,M
MKE,2025-01-02 16:52,27.00,13.00,55.06,290.00,10.00,0.00,30.22,1024.40,10.00,M,BKN,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,16.70,KMKE 021652Z 29010KT 10SM BKN250 M03/M11 A3022 RMK AO2 SLP244 T10281106,M
MKE,2025-01-02 17:52,29.00,13.00,50.72,290.00,9.00,0.00,30.19,1023.40,10.00,M,BKN,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,19.78,KMKE 021752Z 29009KT 10SM BKN250 M02/M11 A3019 RMK AO2 SLP234 60000 T10171106 11017 21056 58013,M
MKE,2025-01-02 18:52,30.00,13.00,48.69,290.00,9.00,0.00,30.17,1022.60,10.00,M,BKN,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,21.03,KMKE 021852Z 29009KT 10SM BKN250 M01/M11 A3017 RMK AO2 SLP226 T10111106,M
MKE,2025-01-02 19:52,31.00,13.00,46.75,250.00,8.00,0.00,30.16,1022.30,10.00,M,FEW,FEW,BKN,M,6000.00,12000.00,25000.00,M,M,M,M,M,M,M,M,22.88,KMKE 021952Z 25008KT 10SM FEW060 FEW120 BKN250 M01/M11 A3016 RMK AO2 SLP223 T10061106,M
MKE,2025-01-02 20:52,31.00,14.00,48.85,260.00,8.00,0.00,30.16,1022.40,10.00,M,FEW,FEW,BKN,M,5000.00,10000.00,25000.00,M,M,M,M,M,M,M,M,22.88,KMKE 022052Z 26008KT 10SM FEW050 FEW100 BKN250 M01/M10 A3016 RMK AO2 SLP224 T10061100 55009,M
MKE,2025-01-02 21:52,30.00,13.00,48.69,250.00,8.00,0.00,30.16,1022.50,10.00,M,FEW,FEW,SCT,BKN,5000.00,10000.00,17000.00,25000.00,M,M,M,M,M,M,M,21.65,KMKE 022152Z 25008KT 10SM FEW050 FEW100 SCT170 BKN250 M01/M11 A3016 RMK AO2 SLP225 T10111106,M
MKE,2025-01-02 22:52,29.00,14.00,53.00,260.00,4.00,0.00,30.17,1022.70,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,23.92,KMKE 022252Z 26004KT 10SM OVC100 M02/M10 A3017 RMK AO2 SLP227 T10171100,M
MKE,2025-01-02 23:52,28.00,13.00,52.84,260.00,8.00,0.00,30.17,1022.60,10.00,M,BKN,OVC,M,M,9000.00,15000.00,M,M,M,M,M,M,M,M,M,19.19,KMKE 022352Z 26008KT 10SM BKN090 OVC150 M02/M11 A3017 RMK AO2 SLP226 T10221106 11006 21022 50001,M
MKE,2025-01-03 00:52,28.00,14.00,55.21,250.00,7.00,0.00,30.16,1022.50,10.00,M,FEW,BKN,M,M,9500.00,15000.00,M,M,M,M,M,M,M,M,M,19.90,KMKE 030052Z 25007KT 10SM FEW095 BKN150 M02/M10 A3016 RMK AO2 SLP225 T10221100,M
MKE,2025-01-03 01:52,28.00,14.00,55.21,260.00,7.00,0.00,30.16,1022.30,10.00,M,OVC,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,19.90,KMKE 030152Z 26007KT 10SM OVC120 M02/M10 A3016 RMK AO2 SLP223 T10221100,M
MKE,2025-01-03 02:52,27.00,11.00,50.39,290.00,12.00,0.00,30.16,1022.30,10.00,22.00,OVC,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,15.64,KMKE 030252Z 29012G22KT 10SM OVC120 M03/M12 A3016 RMK AO2 SLP223 T10281117 56003,M
MKE,2025-01-03 03:52,26.00,12.00,54.90,320.00,15.00,0.00,30.15,1022.20,10.00,20.00,FEW,OVC,M,M,7000.00,11000.00,M,M,M,M,M,M,M,M,M,13.00,KMKE 030352Z 32015G20KT 10SM FEW070 OVC110 M03/M11 A3015 RMK AO2 SLP222 T10331111,M
MKE,2025-01-03 04:52,23.00,11.00,59.52,310.00,12.00,0.00,30.16,1022.60,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,10.55,KMKE 030452Z 31012KT 10SM SCT110 M05/M12 A3016 RMK AO2 SLP226 T10501117,M
MKE,2025-01-03 05:52,22.00,12.00,64.90,300.00,12.00,T,30.17,1022.70,10.00,18.00,BKN,M,M,M,3100.00,M,M,M,-SN,M,M,M,M,M,M,9.27,KMKE 030552Z 30012G18KT 10SM -SN BKN031 M06/M11 A3017 RMK AO2 SNB52 SLP227 P0000 60000 T10561111 11017 21056 410061056 53004,M
MKE,2025-01-03 06:06,23.00,12.00,62.23,310.00,13.00,T,30.17,M,9.00,19.00,OVC,M,M,M,3100.00,M,M,M,M,M,M,M,M,M,M,10.04,KMKE 030606Z 31013G19KT 9SM OVC031 M05/M11 A3017 RMK AO2 SNE06 P0000 T10501111,M
MKE,2025-01-03 06:52,23.00,11.00,59.52,310.00,12.00,T,30.16,1022.50,10.00,M,OVC,M,M,M,3700.00,M,M,M,M,M,M,M,M,M,M,10.55,KMKE 030652Z 31012KT 10SM OVC037 M05/M12 A3016 RMK AO2 SNE06 SLP225 P0000 T10501117,M
MKE,2025-01-03 07:52,23.00,11.00,59.52,320.00,10.00,T,30.16,1022.40,10.00,17.00,OVC,M,M,M,3900.00,M,M,M,-SN,M,M,M,M,M,M,11.68,KMKE 030752Z 32010G17KT 10SM -SN OVC039 M05/M12 A3016 RMK AO2 SNB48 SLP224 P0000 T10501117,M
MKE,2025-01-03 08:52,23.00,12.00,62.23,320.00,9.00,T,30.16,1022.50,10.00,M,OVC,M,M,M,4900.00,M,M,M,M,M,M,M,M,M,M,12.32,KMKE 030852Z 32009KT 10SM OVC049 M05/M11 A3016 RMK AO2 SNE46 SLP225 P0000 60000 T10501111 55001,M
MKE,2025-01-03 09:50,23.00,14.00,67.96,300.00,12.00,T,30.16,M,10.00,18.00,SCT,BKN,OVC,M,2300.00,2800.00,11000.00,M,-SN,M,M,M,M,M,M,10.55,KMKE 030950Z 30012G18KT 10SM -SN SCT023 BKN028 OVC110 M05/M10 A3016 RMK AO2 SNB46 P0000,M
MKE,2025-01-03 09:52,23.00,14.00,67.96,310.00,14.00,T,30.16,1022.30,9.00,21.00,SCT,BKN,OVC,M,2300.00,2800.00,11000.00,M,-SN,M,M,M,M,M,M,9.56,KMKE 030952Z 31014G21KT 9SM -SN SCT023 BKN028 OVC110 M05/M10 A3016 RMK AO2 SNB46 SLP223 P0000 T10501100,M
MKE,2025-01-03 10:22,22.00,12.00,64.90,320.00,13.00,T,30.16,M,9.00,21.00,FEW,SCT,M,M,1600.00,2500.00,M,M,M,M,M,M,M,M,M,8.76,KMKE 031022Z 32013G21KT 9SM FEW016 SCT025 M06/M11 A3016 RMK AO2 SNE19 P0000 T10561111,M
MKE,2025-01-03 10:52,21.00,11.00,64.77,300.00,15.00,T,30.17,1022.80,10.00,24.00,FEW,SCT,M,M,1600.00,2500.00,M,M,M,M,M,M,M,M,M,6.52,KMKE 031052Z 30015G24KT 10SM FEW016 SCT025 M06/M12 A3017 RMK AO2 SNE19 SLP228 P0000 T10611117,M
MKE,2025-01-03 11:52,20.00,9.00,61.80,290.00,9.00,0.00,30.18,1023.10,10.00,M,SCT,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,8.59,KMKE 031152Z 29009KT 10SM SCT023 M07/M13 A3018 RMK AO2 SLP231 60000 T10671128 11050 21072 53006,M
MKE,2025-01-03 12:52,17.00,7.00,64.23,310.00,16.00,0.00,30.18,1023.30,10.00,23.00,FEW,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,0.87,KMKE 031252Z 31016G23KT 10SM FEW023 M08/M14 A3018 RMK AO2 SLP233 T10831139,M
MKE,2025-01-03 13:52,17.00,7.00,64.23,300.00,12.00,0.00,30.18,1023.40,10.00,M,FEW,FEW,M,M,2000.00,10000.00,M,M,M,M,M,M,M,M,M,2.91,KMKE 031352Z 30012KT 10SM FEW020 FEW100 M08/M14 A3018 RMK AO2 SLP234 T10831139,M
MKE,2025-01-03 14:52,17.00,7.00,64.23,300.00,12.00,0.00,30.20,1023.80,10.00,23.00,FEW,FEW,M,M,2000.00,10000.00,M,M,M,M,M,M,28.00,300.00,2025-01-03 14:15,2.91,KMKE 031452Z 30012G23KT 10SM FEW020 FEW100 M08/M14 A3020 RMK AO2 PK WND 30028/1415 SLP238 T10831139 53006,M
MKE,2025-01-03 15:49,17.60,6.80,62.02,320.00,12.00,T,30.21,M,10.00,20.00,BKN,M,M,M,2200.00,M,M,M,-SN,M,M,M,26.00,290.00,2025-01-03 14:55,3.67,KMKE 031549Z 32012G20KT 10SM -SN BKN022 M08/M14 A3021 RMK AO2 PK WND 29026/1455 SNB45 P0000,M
MKE,2025-01-03 15:52,18.00,7.00,61.52,320.00,13.00,T,30.21,1024.30,9.00,M,BKN,M,M,M,2200.00,M,M,M,-SN,M,M,M,26.00,290.00,2025-01-03 14:55,3.63,KMKE 031552Z 32013KT 9SM -SN BKN022 M08/M14 A3021 RMK AO2 PK WND 29026/1455 SNB45 SLP243 P0000 T10781139,M
